,Coin Name,Status,Start Year,End Year
0,Anita Pool,Abandoned or No Volume,2021,2014
1,music,Abandoned or No Volume,2011,2011
2,dickpenis,ICO Fail or Short Lived,2022,2013
3,ADAA,Scam or Other Issues,2021,2021
4,yeet,Joke or No Purpose,2011,2011
5,Earnhub,Scam or Other Issues,2021,2022
6,shiba inu,Joke or No Purpose,2011,2011
7,Lucifer Coin,Scam or Other Issues,2021,2022
8,Digital Price,Abandoned or No Volume,2011,2011
9,Angelita Starks,Scam or Other Issues,2012,2015
10,zaabet,Scam or Other Issues,2011,2011
11,eat and run,Abandoned or No Volume,2011,2011
12,car insurance ontario,Abandoned or No Volume,2011,2011
13,RhbCoin,Scam or Other Issues,2021,2022
14,BestAir,Scam or Other Issues,2021,2021
15,Meta Legends,Scam or Other Issues,2021,2022
16,verify a eating and running,Scam or Other Issues,2011,2011
17,Boscoin,Abandoned or No Volume,2016,2019
18,Polkacat,Scam or Other Issues,2021,2021
19,Big Green DAO,Scam or Other Issues,2021,2021
20,AMAZON,Scam or Other Issues,2021,2021
21,VodkaCoin,Abandoned or No Volume,2014,2014
22,Viuly,Abandoned or No Volume,2017,2019
23,VisionX,Scam or Other Issues,2018,2019
24,Virtual Mining Coin,Abandoned or No Volume,2014,2015
25,Meta Fortune,Scam or Other Issues,2021,2021
26,Vivaldi,Scam or Other Issues,2018,2018
27,Visus,Scam or Other Issues,2018,2018
28,Vision Industry Toke,Scam or Other Issues,2018,2018
29,VirtaCoin,Abandoned or No Volume,2014,2021
30,VIPStar Coin,Abandoned or No Volume,2018,2019
31,MAXI,Scam or Other Issues,2011,2021
32,Milfies,Scam or Other Issues,2021,2021
33,SaveTheKids,Scam or Other Issues,2021,2021
34,UniCat,Scam or Other Issues,2021,2021
35,Viola AI,Scam or Other Issues,2017,2018
36,Catena X,Scam or Other Issues,2021,2021
37,MILF Token,Scam or Other Issues,2021,2021
38,FPS Token,Scam or Other Issues,2021,2021
39,Victorium,Abandoned or No Volume,2018,2018
40,View,Abandoned or No Volume,2017,2018
